2025-05-27 21:12:48.098771153+01:00;START ITERATION 4 WITH TEST CASE ORDER: 3 1 4 2
2025-05-27 21:12:48.099509168+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:12:48.108233330+01:00;ENABLE TEST CASE 3
2025-05-27 21:12:48.109384539+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:48.110846590+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:48.112126024+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:48.113429876+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:48.114877334+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:48.118012004+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:48.119549857+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:48.121132519+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:48.122491699+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:12:48.127554462+01:00;ENABLE TEST CASE 1
2025-05-27 21:12:48.128660777+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:48.130187815+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:48.131573275+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:48.132900700+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:48.134339925+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:48.137596010+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:48.139070566+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:48.140556027+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:48.141798036+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:12:48.145771669+01:00;ENABLE TEST CASE 4
2025-05-27 21:12:48.146862014+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:48.148247839+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:48.149613061+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:48.150891137+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:48.152281968+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:48.155401113+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:48.156916214+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:48.158505008+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:48.159722006+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:12:48.163726032+01:00;ENABLE TEST CASE 2
2025-05-27 21:12:48.164795275+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:48.166265462+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:48.167591642+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:48.168881034+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:48.170306435+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:48.173327429+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:48.174817451+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:48.176285931+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:48.177595521+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:12:48.179650733+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:12:48.182547930+01:00;END ITERATION 4 WITH TEST CASE ORDER: 3 1 4 2
