Operator,NON_EQ,EQ,TOTAL
CCCR,28,5,33
CCDL,6,2,8
CCSR,36,0,36
CRCR,45,0,45
OAAA,0,0,0
OAAN,28,0,28
OABA,0,0,0
OABN,19,2,21
OAEA,0,0,0
OALN,14,0,14
OARN,42,0,42
OASA,0,0,0
OASN,14,0,14
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,2,0,2
OCOR,0,0,0
OEAA,29,1,30
OEBA,17,1,18
OESA,12,0,12
OIDO,1,0,1
OIPM,0,0,0
OLAN,0,0,0
OLBN,0,0,0
OLLN,0,0,0
OLNG,0,0,0
OLRN,0,0,0
OLSN,0,0,0
OODL,16,2,18
ORAN,6,4,10
ORBN,2,4,6
ORLN,2,2,4
ORRN,8,2,10
ORSN,0,4,4
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,2,0,2
SMTT,2,0,2
SMVB,4,0,4
SRSR,15,0,15
SSDL,15,0,15
SSWM,0,0,0
STRI,0,0,0
STRP,15,0,15
SWDD,1,1,2
VDTR,13,14,27
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,32,0,32
VLTR,0,0,0
VSCR,0,0,0
VTWD,17,1,18
VVDL,8,0,8
Total,451,45,496
